market_name,customer_id,product_name,product_item_name,conversion_country,conversion_region,conversion_city,conversion_postal_or_zip,conversion_store_category,conversion_currency,conversion_exchange_rate,conversiont_latitude,conversion_longitude,customersegment,customer3rdpartysegment,customersegment3rdpartyprovider,conversiondatetime,revenueamount,taxamount,shippingamount,discountamount,marginrate,product_item_rating
520101,1034,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -5,US,REGION - 108,CITY - 32,101004,Grocery stores,USD,1,40.09327254,-154.0646554,SEG - 3,3rd PARTY SEG - 2,SEG PROVIDER - 3,9/1/19 00:00,1098.938699,87.91509591,16.48408048,90.53978526,0.610853449,2
520104,1056,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -4,US,REGION - 100,CITY - 31,101012,Grocery stores,USD,1,51.02773234,-78.01756257,SEG - 2,3rd PARTY SEG - 3,SEG PROVIDER - 1,9/2/19 5:49,580.9180726,46.47344581,8.713771089,8.011406197,0.640508566,4
520106,1047,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -9,US,REGION - 106,CITY - 39,101015,Grocery stores,USD,1,60.02302479,-104.0332763,SEG - 3,3rd PARTY SEG - 2,SEG PROVIDER - 1,9/11/19 7:19,487.0207516,38.96166013,7.305311275,35.45124449,0.608612476,4
520109,1071,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -6,US,REGION - 108,CITY - 35,101011,Grocery stores,USD,1,42.07543355,-109.028475,SEG - 1,3rd PARTY SEG - 1,SEG PROVIDER - 3,9/20/19 2:47,805.7631197,64.46104958,12.0864468,62.37114046,0.618380196,0
520110,1088,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -6,US,REGION - 106,CITY - 38,101010,Grocery stores,USD,1,45.04005497,-80.03870481,SEG - 2,3rd PARTY SEG - 1,SEG PROVIDER - 3,9/26/19 6:40,289.3886505,23.15109204,4.340829758,13.54997627,0.635331245,4
520309,1054,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -6,US,REGION - 103,CITY - 35,101007,Grocery stores,USD,1,45.06407203,-71.03482406,SEG - 3,3rd PARTY SEG - 1,SEG PROVIDER - 2,9/30/19 17:52,434.0419819,34.72335856,6.510629729,14.41267903,0.652902056,5
520310,1058,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -9,US,REGION - 108,CITY - 37,101010,Grocery stores,USD,1,50.05233726,-99.0735691,SEG - 1,3rd PARTY SEG - 2,SEG PROVIDER - 2,10/6/19 8:38,856.6836225,68.5346898,12.85025434,29.93327964,0.692683699,2
520408,1033,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -6,US,REGION - 109,CITY - 46,101004,Grocery stores,USD,1,29.07578745,-109.0655411,SEG - 2,3rd PARTY SEG - 3,SEG PROVIDER - 1,10/12/19 8:51,133.9370699,10.71496559,2.009056048,8.974154696,0.601165534,0
520410,1094,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -4,CA,REGION - 106,CITY - 30,101004,Grocery stores,USD,1,41.09861136,-131.0150237,SEG - 1,3rd PARTY SEG - 3,SEG PROVIDER - 3,10/17/19 20:13,105.4842549,8.43874039,1.582263823,1.575696953,0.692607668,4
521302,1080,ABC_Cereal_Bars prod group 5,ABC_Cereal_Bars prod group 5 ITEM -8,CA,REGION - 109,CITY - 39,101004,Grocery stores,USD,1,42.02591456,-70.04992644,SEG - 1,3rd PARTY SEG - 2,SEG PROVIDER - 3,10/24/19 13:58,537.3982274,42.9918582,8.060973412,36.68278821,0.641447659,3
